index,key,name,dateTime,stmType,lat,lon,windSpd,pressure
29402,AL011970,ALMA,1970-05-17T18:00:00Z,TD,11.5,-79,25,
29403,AL011970,ALMA,1970-05-18T00:00:00Z,TD,11.7,-79.2,25,
29404,AL011970,ALMA,1970-05-18T06:00:00Z,TD,12.1,-79.7,25,
29405,AL011970,ALMA,1970-05-18T12:00:00Z,TD,12.3,-80.1,25,1007
29406,AL011970,ALMA,1970-05-18T18:00:00Z,TD,12.5,-80.5,25,
29407,AL011970,ALMA,1970-05-19T00:00:00Z,TD,13,-81,25,
29408,AL011970,ALMA,1970-05-19T06:00:00Z,TD,13.5,-81.5,25,
29409,AL011970,ALMA,1970-05-19T12:00:00Z,TD,14,-82,25,1005
29410,AL011970,ALMA,1970-05-19T18:00:00Z,TD,14.5,-82.5,25,
29411,AL011970,ALMA,1970-05-20T00:00:00Z,TS,15.5,-82.5,35,
29412,AL011970,ALMA,1970-05-20T06:00:00Z,TS,16.2,-82.3,35,
29413,AL011970,ALMA,1970-05-20T12:00:00Z,HU,16.8,-81.9,65,
29414,AL011970,ALMA,1970-05-20T18:00:00Z,HU,17.2,-81.6,70,993
29415,AL011970,ALMA,1970-05-21T00:00:00Z,TS,18,-81,55,
29416,AL011970,ALMA,1970-05-21T06:00:00Z,TS,18.2,-80.3,50,
29417,AL011970,ALMA,1970-05-21T12:00:00Z,TS,18.5,-80.2,45,
29418,AL011970,ALMA,1970-05-21T18:00:00Z,TS,19,-80,40,998
29419,AL011970,ALMA,1970-05-22T00:00:00Z,TS,19.6,-80.1,35,1004
29420,AL011970,ALMA,1970-05-22T06:00:00Z,TD,19.3,-80.6,30,
29421,AL011970,ALMA,1970-05-22T12:00:00Z,TD,19.1,-81.1,30,
29422,AL011970,ALMA,1970-05-22T18:00:00Z,TD,19,-81.8,30,1007
29423,AL011970,ALMA,1970-05-23T00:00:00Z,TD,19.2,-82.7,30,
29424,AL011970,ALMA,1970-05-23T06:00:00Z,TD,19.8,-83.5,25,
29425,AL011970,ALMA,1970-05-23T12:00:00Z,TD,21,-83.9,25,
29426,AL011970,ALMA,1970-05-23T18:00:00Z,TD,21.9,-84,25,
29427,AL011970,ALMA,1970-05-24T00:00:00Z,TD,23,-84,25,
29428,AL011970,ALMA,1970-05-24T06:00:00Z,TD,24,-84,25,
29429,AL011970,ALMA,1970-05-24T12:00:00Z,TD,25.2,-84,25,1008
29430,AL011970,ALMA,1970-05-24T18:00:00Z,TD,26.8,-83.9,25,
29431,AL011970,ALMA,1970-05-25T00:00:00Z,TD,28.3,-83.6,25,
29432,AL011970,ALMA,1970-05-25T06:00:00Z,TD,29.5,-82.9,25,
29433,AL011970,ALMA,1970-05-25T12:00:00Z,TD,30.6,-82.2,25,
29434,AL011970,ALMA,1970-05-25T18:00:00Z,TD,31.8,-81.6,25,
29435,AL011970,ALMA,1970-05-26T00:00:00Z,TD,32.6,-81.2,25,1005
29436,AL011970,ALMA,1970-05-26T06:00:00Z,TD,33.3,-80.7,25,
29437,AL011970,ALMA,1970-05-26T12:00:00Z,TD,34.8,-79.9,25,
29438,AL011970,ALMA,1970-05-26T18:00:00Z,TD,35.7,-78.7,25,
29439,AL011970,ALMA,1970-05-27T00:00:00Z,EX,36.5,-77,25,1003
29440,AL011970,ALMA,1970-05-27T06:00:00Z,EX,37,-75.5,25,
29441,AL021970,BECKY,1970-07-19T00:00:00Z,TD,18.5,-83.5,25,
29442,AL021970,BECKY,1970-07-19T06:00:00Z,TD,18.8,-84.5,25,
29443,AL021970,BECKY,1970-07-19T12:00:00Z,TD,19.4,-85.2,30,
29444,AL021970,BECKY,1970-07-19T18:00:00Z,TD,20.3,-85.6,30,1010
29445,AL021970,BECKY,1970-07-20T00:00:00Z,TD,21.3,-85.9,30,
29446,AL021970,BECKY,1970-07-20T06:00:00Z,TD,22.3,-86.2,30,
29447,AL021970,BECKY,1970-07-20T12:00:00Z,TS,23.3,-86.4,40,
29448,AL021970,BECKY,1970-07-20T18:00:00Z,TS,24.1,-86.6,45,1008
29449,AL021970,BECKY,1970-07-21T00:00:00Z,TS,25,-86.6,50,1003
29450,AL021970,BECKY,1970-07-21T06:00:00Z,TS,25.8,-86.7,55,1004
29451,AL021970,BECKY,1970-07-21T12:00:00Z,TS,26.6,-86.6,55,1006
29452,AL021970,BECKY,1970-07-21T18:00:00Z,TS,27.5,-86.3,55,
29453,AL021970,BECKY,1970-07-22T00:00:00Z,TS,28.3,-86,45,
29454,AL021970,BECKY,1970-07-22T06:00:00Z,TS,29.2,-85.5,40,
29455,AL021970,BECKY,1970-07-22T12:00:00Z,TD,29.9,-85.1,30,1009
29456,AL021970,BECKY,1970-07-22T18:00:00Z,TD,31.7,-84.7,25,
29457,AL021970,BECKY,1970-07-23T00:00:00Z,TD,33.4,-85.2,25,
29458,AL021970,BECKY,1970-07-23T06:00:00Z,TD,35.3,-86,25,1015
29459,AL021970,BECKY,1970-07-23T12:00:00Z,TD,37.2,-86.9,20,
29460,AL031970,UNNAMED,1970-07-27T12:00:00Z,TD,33,-76.5,20,
29461,AL031970,UNNAMED,1970-07-27T18:00:00Z,TD,33.5,-76.2,25,
29462,AL031970,UNNAMED,1970-07-28T00:00:00Z,TD,34,-76,25,
29463,AL031970,UNNAMED,1970-07-28T06:00:00Z,TD,34.5,-75.7,25,
29464,AL031970,UNNAMED,1970-07-28T12:00:00Z,TD,35,-75.5,25,
29465,AL031970,UNNAMED,1970-07-28T18:00:00Z,TD,34.8,-74.5,25,
